PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
72265,99,1.49,8.45
70327,3,6.78,16.94
70327,4,6.78,16.94
2353,1,7.98,19.94
2353,2,7.98,19.94
2353,3,7.98,19.94
2353,4,7.98,19.94
2353,99,2.99,16.95
2633,1,7.98,19.94
2633,2,7.98,19.94
2633,3,7.98,19.94
2633,4,7.98,19.94
2633,99,2.99,16.95
69145,1,9.18,22.94
69145,2,9.18,22.94
69145,3,9.18,22.94
69145,4,9.18,22.94
69145,99,3.44,19.5
38903,1,6.78,16.94
38903,2,6.78,16.94
38903,3,6.78,16.94
38903,4,6.78,16.94
1461,1,7.98,19.94
1461,2,7.98,19.94
1461,3,7.98,19.94
1461,4,7.98,19.94
1461,99,2.99,16.95
71715,1,5.18,12.94
71715,2,5.18,12.94
71715,3,5.18,12.94
71715,4,5.18,12.94
71715,99,1.94,11
70363,1,10.78,26.94
70363,2,10.78,26.94
70363,3,10.78,26.94
70363,4,10.78,26.94
70363,99,4.04,22.9
2201,1,3.98,9.94
2201,2,3.98,9.94
2201,3,3.98,9.94
2201,99,1.49,8.45
2201,4,3.98,9.94
38883,1,5.98,14.94
38883,2,5.98,14.94
38883,99,2.24,12.7
5000063,99,1.94,11
2197,1,5.18,12.94
2197,2,5.18,12.94
2197,3,5.18,12.94
2197,4,5.18,12.94
2197,99,1.94,11
2277,1,9.18,22.94
2277,2,9.18,22.94
2277,3,9.18,22.94
2277,4,9.18,22.94
2277,99,3.44,19.5
1839,1,6.38,15.94
1839,2,6.38,15.94
1839,3,6.38,15.94
1839,4,6.38,15.94
1839,99,2.39,13.55
359,1,9.98,24.94
359,2,9.98,24.94
359,3,9.98,24.94
359,99,3.74,21.2
70085,1,5.98,14.94
70085,2,5.98,14.94
70085,99,2.24,12.7
70085,3,5.98,14.94
70085,4,5.98,14.94
70807,1,5.98,14.94
70807,2,5.98,14.94
70807,99,2.24,12.7
67505,1,9.98,24.94
67505,2,9.98,24.94
67505,3,9.98,24.94
67505,4,9.98,24.94
67505,99,3.74,21.2
10065,1,3.98,9.94
10065,2,3.98,9.94
10065,3,3.98,9.94
10065,4,3.98,9.94
10065,99,1.49,8.45
70341,1,11.98,29.94
70341,2,11.98,29.94
70341,99,4.49,25.45
70343,1,11.98,29.94
70343,2,11.98,29.94
70343,99,4.49,25.45
70345,1,13.98,34.94
70345,2,13.98,34.94
70345,3,13.98,34.94
70345,4,13.98,34.94
70339,1,5.98,14.94
70339,2,5.98,14.94
70339,3,5.98,14.94
70339,4,5.98,14.94
70339,99,2.24,12.7
10197,1,5.18,12.94
10197,2,5.18,12.94
10197,3,5.18,12.94
10197,4,5.18,12.94
10197,99,1.94,11
70899,1,5.98,14.94
70899,2,5.98,14.94
70899,99,2.24,12.7
2431,1,9.98,24.94
2431,2,9.98,24.94
2431,3,9.98,24.94
2431,99,3.74,21.2
1331,1,10.78,26.94
1331,2,10.78,26.94
1331,3,10.78,26.94
1331,4,10.78,26.94
1331,99,4.04,22.9
1285,1,13.98,34.94
1285,2,13.98,34.94
1285,3,13.98,34.94
1285,4,13.98,34.94
1285,99,5.24,29.7
2059,1,15.98,39.94
2059,2,15.98,39.94
2059,3,15.98,39.94
2059,4,15.98,39.94
2059,99,5.99,33.95
877,1,5.18,12.94
877,2,5.18,12.94
877,3,5.18,12.94
877,99,1.94,11
38879,1,5.18,12.94
38879,2,5.18,12.94
38879,99,1.94,11
38879,3,5.18,12.94
39,1,5.18,12.94
39,2,5.18,12.94
39,3,5.18,12.94
39,4,5.18,12.94
39,99,1.94,11
68721,1,5.98,14.94
68721,2,5.98,14.94
68721,99,2.24,12.7
68721,3,5.98,14.94
68721,4,5.98,14.94
69775,1,6.78,16.94
69775,2,6.78,16.94
69775,3,6.78,16.94
69775,4,6.78,16.94
69173,1,13.98,34.94
69173,2,13.98,34.94
69173,3,13.98,34.94
69173,4,13.98,34.94
69173,99,5.24,29.7
69509,1,7.98,19.94
69509,2,7.98,19.94
69509,3,7.98,19.94
69509,4,7.98,19.94
69509,99,2.99,16.95
68763,1,15.98,39.94
68763,2,15.98,39.94
68763,99,5.99,33.95
10093,1,3.58,8.94
10093,2,3.58,8.94
10093,99,1.34,7.6
70197,1,5.98,14.94
70197,2,5.98,14.94
70197,99,2.24,12.7
38859,1,5.98,14.94
38859,2,5.98,14.94
38859,3,5.98,14.94
38859,4,5.98,14.94
38859,99,2.24,12.7
70347,1,13.98,34.94
70347,2,13.98,34.94
70347,3,13.98,34.94
70347,4,13.98,34.94
70347,99,5.24,29.7
70275,3,13.8,34.5
70275,4,13.8,34.5
69653,1,9.98,24.94
69653,2,9.98,24.94
69653,3,9.98,24.94
69653,4,9.98,24.94
69653,99,3.74,21.2
10017,1,1.58,3.94
10017,2,1.58,3.94
10017,99,0.59,3.35
10017,3,1.58,3.94
10017,4,1.58,3.94
72583,1,5.18,12.94
72583,2,5.18,12.94
68869,1,5.98,14.94
68869,2,5.98,14.94
68869,99,2.24,12.7
71137,1,2.78,6.94
71137,2,2.78,6.94
71137,3,2.78,6.94
71137,99,1.04,5.9
69309,1,10.78,26.94
69309,2,10.78,26.94
69309,3,10.78,26.94
69309,4,10.78,26.94
69309,99,4.04,22.9
2763,1,5.18,12.94
2763,2,5.18,12.94
2763,3,5.18,12.94
2763,99,1.94,11
70587,1,2.78,6.94
70587,2,2.78,6.94
70587,3,2.78,6.94
70587,4,2.78,6.94
70587,99,1.04,5.9
68913,1,3.8,9.5
